rep,id,eta_V,eta_Cl,eta_Emax,eta_H,eta_kdeg,eta_K
1,1,0,0.38853109095695,-0.113558506381093,0,-0.029792047219247,0.56656702382352
2,1,0,0.391534412640211,-0.324209230607389,0,-0.0395867996310737,0.505322073309254
1,2,0,-0.732893354773849,0.423203205850578,0,-0.0714964860717924,-0.464342919129617
2,2,0,-0.712852671332529,0.762046608124937,0,-0.0669400672555098,-0.418591096691923
1,3,0,0.354813686108034,-0.913210527077458,0,0.054846379452838,0.0138520106675153
2,3,0,0.352904745678201,-0.12964506230648,0,0.0425287436002251,0.346572798224888
1,4,0,0.49339411163393,0.377864863053468,0,-0.051352199704096,-0.439157991887565
2,4,0,0.489601840173794,0.00834809312021001,0,-0.0462134098942575,-0.496301368405377
1,5,0,-0.195557500733235,-0.300393324760872,0,0.0546004409224936,-0.120972005508689
2,5,0,-0.196787476710901,0.212042573945752,0,0.0498060722044809,0.0690902679667575
1,6,0,-0.988725752074857,0.0230849424382882,0,0.154840650634114,0.142804956020778
2,6,0,-0.983718680882839,0.150726864792198,0,0.145926682450784,0.204375097090558
1,7,0,0.254017645190201,-0.0868138728775758,0,0.0846801505162824,-0.319913219979394
2,7,0,0.254897984215,0.353006881460555,0,0.0808537692002547,-0.199897312229673
1,8,0,0.611778984244671,1.78485002574927,0,0.00184362380944658,-0.13359653445086
2,8,0,0.610887462450832,-0.174319971906474,0,0.00942638273931262,-0.574789439779302
1,9,0,0.27440979268336,-0.161957176221538,0,-0.104323570605991,0.0599950678058661
2,9,0,0.272402167073602,-0.00339122888240517,0,-0.100140290094633,0.103689223841325
1,10,0,0.0121436130852344,0.188814135987352,0,-0.0902808808357396,0.103992856632541
2,10,0,0.00784502617029847,0.117967263186559,0,-0.0864262385822707,0.0740894935632412
1,11,0,0.260379363133688,-0.00319505524432273,0,0.00367898823057722,0.512506766801581
2,11,0,0.260301161909103,0.0124922321592695,0,0.0057715841091952,0.500090021930497
1,12,0,-0.347210883241864,0.0453492245451237,0,0.0865300684140207,0.877856414451466
2,12,0,-0.346828588978067,-2.84870328608843,0,0.0840556192691382,-0.52455619656345
1,13,0,0.275171028688827,0.110296943570802,0,0.0545037560239034,-0.0319213373166738
2,13,0,0.275285288314336,0.248421831249647,0,0.0632718174908447,0.00616447731978131
1,14,0,-0.702501146296283,0.0757434213370818,0,-0.0404442820331419,0.188248796962497
2,14,0,-0.701969629195726,-0.0155615925549881,0,-0.0396207985090591,0.156672264439408
1,15,0,0.218535227407886,0.208400097156458,0,-0.12375902163369,-0.0527235433079443
2,15,0,0.213731685560407,-0.0462430212782969,0,-0.111841325945969,-0.150972603022228
1,16,0,0.415184558776276,0.272308655210139,0,0.0592951784952345,0.160194913609865
2,16,0,0.414097470613431,0.329905105694683,0,0.0673067190848886,0.133470127837632
1,17,0,-0.54848202514324,0.296690236387731,0,-0.0179277128683857,-0.133356093758391
2,17,0,-0.55184802673447,0.261953236360114,0,-0.0177231404154525,-0.0817017949506869
1,18,0,-0.269277220196603,0.635693923037509,0,-0.231990492047668,-0.362948273450527
2,18,0,-0.269933055477573,0.925317553187607,0,-0.182799194159372,-0.375356590774093
1,19,0,0.646927422044409,0.0526278732033365,0,0.0479572733971858,0.149087269795355
2,19,0,0.639654168571218,0.192536167297314,0,0.0562105129162185,0.181483880245752
1,20,0,0.342773528023763,0.0663761683296613,0,-0.0899862132655385,0.356689739710097
2,20,0,0.345865007341663,0.0109761532483361,0,-0.0926797947677969,0.37510830729027
1,21,0,-0.0239150739955293,-0.0354393242989133,0,0.0477495955022291,0.123518778214793
2,21,0,-0.0239817018434986,-0.123849893657683,0,0.0495894461781443,0.0994996714184726
1,22,0,0.19014677737988,-0.334292558618174,0,0.0651406340171847,-0.0831467530039972
2,22,0,0.193277378169353,-0.256453237482582,0,0.0755739088346183,-0.039554682379128
1,23,0,0.217226655679566,-0.0579521337670954,0,-0.0948434238120572,0.0705348534794545
2,23,0,0.215273868021438,0.0251596659726481,0,-0.0853174759879258,0.0713388361682101
1,24,0,-0.586313111437919,0.0510399032574256,0,0.0726923323350619,-0.595439183225507
2,24,0,-0.586581566401635,-0.0209127425418725,0,0.0960416460331133,-0.511302430645526
1,25,0,-0.477854308029504,-0.0461835949746181,0,-0.0718529110476431,-0.0421490389310466
2,25,0,-0.477781574337599,-0.189266092458928,0,-0.0758785468402305,-0.0774396821047431
1,26,0,-0.541826328984009,0.439080324215613,0,0.0707731109328344,0.034998198093428
2,26,0,-0.540340210595125,0.252843641953408,0,0.0660234727725961,-0.0413448745885681
1,27,0,0.22587758567233,0.229286486206773,0,0.142073314190035,0.210858371496186
2,27,0,0.225374027828003,0.216652845201219,0,0.136001075802388,0.191619747650168
1,28,0,0.321920172869058,0.0144667322200807,0,-0.0452655832099371,0.256215509639367
2,28,0,0.323697078991455,-0.0967254530517092,0,-0.0473130795746244,0.196568249817081
1,29,0,-0.00687771752437144,-1.11689376812597,0,0.152656536497789,-0.313900143194493
2,29,0,-0.0113110281523996,-0.228258661686439,0,0.144049127635295,-0.0308471038154206
1,30,0,-0.107157164627683,0.174453924035957,0,-0.0845407120104333,0.207209770713619
2,30,0,-0.107926375219676,0.165524440749175,0,-0.0921392414152049,0.147167078257554
